"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-118hhrg51597","CHRG-118hhrg51597","Full Committee Markup","https://www.govinfo.gov/app/details/CHRG-118hhrg51597/CHRG-118hhrg51597","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51597/pdf/CHRG-118hhrg51597.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51597/html/CHRG-118hhrg51597.htm","","",""," 2023 Serial No. 118-10 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov _________ U.S. GOVERNMENT PUBLISHING OFFICE 51-597 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. MCCAUL, Texas, ...","","2023-03-28"
"2","Congressional Hearings","CHRG-118hhrg52236","CHRG-118hhrg52236","Full Committee Markup of H.R. 1690 and H.R. 589 Day I and Day 2","https://www.govinfo.gov/app/details/CHRG-118hhrg52236/CHRG-118hhrg52236","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52236/pdf/CHRG-118hhrg52236.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52236/html/CHRG-118hhrg52236.htm","","",""," CONGRESS FIRST SESSION APRIL 26, 2023; DAY 1 APRIL 28, 2023; DAY 2 Serial No. 118-22 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-236PDF WASHINGTON : 2024...","","2023-04-26"
"3","Congressional Hearings","CHRG-118hhrg56735","CHRG-118hhrg56735","Full Committee Markup","https://www.govinfo.gov/app/details/CHRG-118hhrg56735/CHRG-118hhrg56735","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56735/pdf/CHRG-118hhrg56735.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56735/html/CHRG-118hhrg56735.htm","","",""," 28, 2023 Serial No. 118-3 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 56-735 WASHINGTON : 2024 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. McCAUL, Texas, Chairman ...","","2023-02-28"
"4","Congressional Hearings","CHRG-118hhrg54428","CHRG-118hhrg54428","The Future of Freedom and Democracy in Belarus","https://www.govinfo.gov/app/details/CHRG-118hhrg54428/CHRG-118hhrg54428","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54428/pdf/CHRG-118hhrg54428.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54428/html/CHRG-118hhrg54428.htm","","",""," ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION December 5, 2023 Serial No. 118-69 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 54-428PDF WASHINGTON : 2024 COMMITTEE ON...","","2023-12-05"
"5","Congressional Hearings","CHRG-118hhrg54129","CHRG-118hhrg54129","The State of American Influence in 2023: Great Power Competition and Persistent Crises in an Era of Budget Constraints","https://www.govinfo.gov/app/details/CHRG-118hhrg54129/CHRG-118hhrg54129","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54129/pdf/CHRG-118hhrg54129.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54129/html/CHRG-118hhrg54129.htm","","",""," FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION May 17, 2023 Serial No. 118-24 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 54...","","2023-05-17"
"6","Congressional Hearings","CHRG-118hhrg53244","CHRG-118hhrg53244","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg53244/CHRG-118hhrg53244","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53244/pdf/CHRG-118hhrg53244.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53244/html/CHRG-118hhrg53244.htm","","",""," JULY 26, 2023 Serial No. 118-41 Printed for the use of the Committee on Foreign Affairs Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov MARKUP OF VARIOUS MEASURES ______ MARKUP OF VARIOUS MEASURES MARK UP BEFORE THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH ...","","2023-07-26"
"7","Congressional Hearings","CHRG-118hhrg52398","CHRG-118hhrg52398","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg52398/CHRG-118hhrg52398","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52398/pdf/CHRG-118hhrg52398.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52398/html/CHRG-118hhrg52398.htm","","",""," 16, 2023 Serial No. 118-26 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-398PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. MCCAUL, Texas, Chairman ...","","2023-05-16"
"8","Congressional Hearings","CHRG-118hhrg54878","CHRG-118hhrg54878","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg54878/CHRG-118hhrg54878","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54878/pdf/CHRG-118hhrg54878.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54878/html/CHRG-118hhrg54878.htm","","",""," 6, 2024 Serial No. 118-81 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 54-878PDF WASHINGTON : 2024 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. McCAUL, Texas, ...","","2024-02-06"
"9","Congressional Hearings","CHRG-118hhrg54518","CHRG-118hhrg54518","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg54518/CHRG-118hhrg54518","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54518/pdf/CHRG-118hhrg54518.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54518/html/CHRG-118hhrg54518.htm","","",""," 29, 2023 Serial No. 118-64 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 54-518PDF WASHINGTON : 2024 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. McCAUL, Texas, ...","","2023-11-29"
"10","Congressional Hearings","CHRG-118hhrg54081","CHRG-118hhrg54081","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg54081/CHRG-118hhrg54081","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54081/pdf/CHRG-118hhrg54081.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54081/html/CHRG-118hhrg54081.htm","","",""," 19, 2023 Serial No. 118-53 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 54-081PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. McCAUL, Texas, ...","","2023-10-19"
