County Name,2022,2021,2020,2019
Harris,16.4,13.8,14.9,13.9
Dallas,15.6,13.1,14.2,14
Tarrant,14.2,12,13.1,13
Bexar,17.4,14,14.6,13.9
Travis,14.6,11.9,12.6,12.8
Collin,12.1,10.1,10.9,11.1
Denton,12.5,10.2,11.2,11.3
Fort Bend,11.1,9.1,10.2,9.5
Hidalgo,22.9,19,19.1,18
El Paso,19.4,15,15.1,14.6
Montgomery,13.8,11.7,12.5,12.3
Williamson,12.6,10.1,10.7,11
Cameron,21.9,18,17.9,17.5
Brazoria,12.9,10.7,11.6,11.4
Bell,16.6,14.1,15.1,15.1
Galveston,15.1,13.1,14.1,14.1
Nueces,18.7,15.4,15.2,14.7
Lubbock,17,14.3,14.9,15.5
Hays,14.7,11.8,12,12
McLennan,16.9,14.4,15.4,15.7
Webb,20,16,16.2,15.8
Smith,14.9,12.9,14.3,14.8
Jefferson,17.8,16.6,18.2,16.6
Brazos,17.1,14.2,15,15.5
Ellis,13.1,10.4,11.1,11.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
